carrier1,carrier2,correlation
MQ,F9,0.10831
MQ,FL,0.11464
MQ,HA,-0.01537
MQ,HP,0.06214
MQ,MQ,1.00000
MQ,NK,0.57197
MQ,NW,0.08137
MQ,OH,0.10397
MQ,OO,0.22268
MQ,TZ,0.73309
MQ,UA,0.50200
MQ,US,0.11271
MQ,VX,0.13752
MQ,WN,0.30400
MQ,XE,0.07295
NK,AA,0.58038
NK,AS,0.06806
NK,B6,0.33169
NK,CO,0.32001
NK,DH,0.02229
NK,DL,0.32876
NK,EV,0.40499
NK,F9,0.33203
NK,FL,0.33639
NK,HA,-0.00492
NK,HP,0.28293
NK,MQ,0.57197
NK,NK,1.00000
NK,NW,0.34369
NK,OH,0.05958
NK,OO,0.29857
NK,TZ,0.52912
NK,UA,0.53260
NK,US,0.16181
NK,VX,0.22098
NK,WN,0.59779
NK,XE,0.21739
NW,AA,0.11875
NW,AS,0.04503
NW,B6,0.07195
NW,CO,0.07117
NW,DH,0.07691
NW,DL,0.23882
NW,EV,0.14613
NW,F9,0.10931
NW,FL,0.06901
NW,HA,0.00029
NW,HP,0.08288
NW,MQ,0.08137
NW,NK,0.34369
NW,NW,1.00000
NW,OH,0.04074
NW,OO,0.18273
NW,TZ,0.19699
NW,UA,0.13452
NW,US,0.06909
NW,VX,0.05861
NW,WN,0.12253
NW,XE,0.06585
OH,AA,0.06660
OH,AS,-0.01853
OH,B6,0.23686
OH,CO,0.01838
OH,DH,0.08720
OH,DL,0.19664
OH,EV,0.19145
OH,F9,0.05343
OH,FL,0.07687
OH,HA,-0.01566
OH,HP,0.00093
OH,MQ,0.10397
OH,NK,0.05958
OH,NW,0.04074
OH,OH,1.00000
OH,OO,0.00458
OH,TZ,0.06992
OH,UA,0.04602
OH,US,0.08876
OH,VX,0.05151
OH,WN,0.01971
OH,XE,0.03549
OO,AA,0.24406
OO,AS,0.20232
OO,B6,0.02739
OO,CO,0.14284
OO,DH,0.00091
OO,DL,0.19038
OO,EV,0.13523
OO,F9,0.54477
OO,FL,0.02966
OO,HA,0.00211
OO,HP,0.21917
OO,MQ,0.22268
OO,NK,0.29857
OO,NW,0.18273
OO,OH,0.00458
OO,OO,1.00000
OO,TZ,0.40002
OO,UA,0.65022
OO,US,0.01725
OO,VX,0.47004
OO,WN,0.40210
OO,XE,0.05210
TZ,AA,0.50306
TZ,AS,0.04945
